Nível;Cód.;Município;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
MU;1400308;Mucajaí (RR);-;-;-;-;-;-;-;-;-;-;-;-;2100;2892;1800;2900;2400;2800;3390;3732
MU;1400407;Normandia (RR);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1400456;Pacaraima (RR);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1400472;Rorainópolis (RR);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1400506;São João da Baliza (RR);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1400605;São Luiz (RR);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1400704;Uiramutã (RR);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1500107;Abaetetuba (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1500131;Abel Figueiredo (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;2900;3600;3000;3100;3200;3000;3100
MU;1500206;Acará (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1500305;Afuá (PA);-;...;...;...;-;...;...;...;-;-;-;...;...;-;-;-;-;-;-;-
MU;1500347;Água Azul do Norte (PA);-;-;-;-;-;3625;-;-;-;-;-;-;-;-;3500;3600;4340;4600;3375;3375
MU;1500404;Alenquer (PA);-;2701;2700;2700;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1500503;Almeirim (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1500602;Altamira (PA);2000;2000;2000;2000;2000;2700;2700;2700;2700;2700;2700;3600;3600;3000;3000;3000;3780;3600;3600;3400
MU;1500701;Anajás (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1500800;Ananindeua (PA);...;...;...;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1500859;Anapu (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1500909;Augusto Corrêa (PA);-;-;-;-;-;-;-;-;-;-;-;1500;-;-;-;-;-;-;-;-
MU;1500958;Aurora do Pará (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1501006;Aveiro (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1501105;Bagre (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1501204;Baião (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1501253;Bannach (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1501303;Barcarena (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1501402;Belém (PA);...;...;...;-;-;...;...;...;-;-;-;-;...;...;-;-;-;-;-;-
