Município;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006
Pa-Palestina do Para;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Paragominas;65;61;59;46;35;29;25;20;16;11;10;9;6;4;4;2
Pa-Parauapebas;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
Pa-Pau D Arco;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Peixe-Boi;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Picarra;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Placas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Ponta de Pedras;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Portel;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Porto de Moz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Prainha;2;2;2;2;2;1;1;1;1;1;1;1;2;2;2;2
Pa-Primavera;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Quatipuru;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Redencao;7;5;3;3;2;3;2;0;1;0;0;0;2;2;5;2
Pa-Rio Maria;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Rondon do Para;49;54;50;30;11;10;8;6;6;4;0;0;0;0;0;0
Pa-Ruropolis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Salinopolis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Salvaterra;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Santa Barbara do Para;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Santa Cruz do Arari;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Santa Izabel do Para;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Santa Luzia do Para;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Santa Maria das Barreiras;35;26;22;19;16;13;9;6;7;1;0;1;1;1;0;3
Pa-Santa Maria do Para;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Santana do Araguaia;31;20;24;19;16;13;12;11;10;9;6;7;6;5;5;5
Pa-Santarem;26;25;20;20;19;18;21;17;15;8;8;10;8;8;8;7
Pa-Santarem Novo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Santo Antonio do Taua;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Sao Caetano de Odivelas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Sao Domingos do Araguaia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Sao Domingos do Capim;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0
Pa-Sao Felix do Xingu;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0
Pa-Sao Francisco do Para;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
