Município;2005;2004;2003
Ma-Luis Domingues;0;0;0
Ma-Magalhaes de Almeida;0;0;0
Ma-Maracacume;3;6;0
Ma-Maraja do Sena;0;0;0
Ma-Maranhaozinho;0;0;0
Ma-Mata Roma;0;0;0
Ma-Matinha;47;45;45
Ma-Matoes;0;0;0
Ma-Matoes do Norte;5;7;9
Ma-Milagres do Maranhao;0;0;0
Ma-Mirador;0;0;0
Ma-Miranda do Norte;30;16;12
Ma-Mirinzal;0;0;0
Ma-Moncao;0;0;0
Ma-Montes Altos;26;22;19
Ma-Morros;0;0;0
Ma-Nina Rodrigues;0;0;0
Ma-Nova Colinas;0;0;0
Ma-Nova Iorque;1;1;0
Ma-Nova Olinda do Maranhao;1;1;1
Ma-Olho D Agua das Cunhas;31;24;12
Ma-Olinda Nova do Maranhao;0;0;0
Ma-Paco do Lumiar;0;0;0
Ma-Palmeirandia;2;0;0
Ma-Paraibano;0;0;0
Ma-Parnarama;93;91;67
Ma-Passagem Franca;3;0;0
Ma-Pastos Bons;0;0;0
Ma-Paulino Neves;0;0;0
Ma-Paulo Ramos;1;0;0
Ma-Pedreiras;6;4;10
Ma-Pedro do Rosario;3;3;0
Ma-Penalva;0;0;0
Ma-Peri Mirim;0;0;0
Ma-Peritoro;1;0;3
Ma-Pindare-Mirim;1;1;1
Ma-Pinheiro;10;7;5
Ma-Pio Xii;3;4;1
Ma-Pirapemas;2;2;0
Ma-Pocao de Pedras;10;9;10
Ma-Porto Franco;55;50;38
Ma-Porto Rico do Maranhao;0;0;0
Ma-Presidente Dutra;3;4;6
Ma-Presidente Juscelino;0;0;0
Ma-Presidente Medici;0;0;0
Ma-Presidente Sarney;1;0;0
Ma-Presidente Vargas;0;0;0
Ma-Primeira Cruz;0;0;0
Ma-Raposa;0;0;0
Ma-Riachao;23;16;17
Ma-Ribamar Fiquene;89;70;42
Ma-Rosario;2;2;0
Ma-Sambaiba;0;0;2
Ma-Santa Filomena do Maranhao;3;0;0
Ma-Santa Helena;7;5;0
Ma-Santa Ines;59;65;64
Ma-Santa Luzia;129;63;68
Ma-Santa Luzia do Parua;0;0;0
Ma-Santa Quiteria do Maranhao;0;0;0
Ma-Santa Rita;0;0;0
Ma-Santana do Maranhao;0;0;0
Ma-Santo Amaro do Maranhao;0;0;0
Ma-Santo Antonio dos Lopes;3;0;0
Ma-Sao Benedito do Rio Preto;0;0;0
Ma-Sao Bento;0;0;0
Ma-Sao Bernardo;0;0;0
Ma-Sao Domingos do Azeitao;0;0;0
Ma-Sao Domingos do Maranhao;0;0;2
