Município;2021;2020;2019;2018;2017
To-Tupirama;9;7;7;6;7
To-Tupiratins;13;9;8;10;9
To-Wanderlandia;46;48;44;40;47
To-Xambioa;47;42;48;48;46
To-Ignorado;0;0;0;0;0
Ma-Acailandia;172;161;194;203;216
Ma-Afonso Cunha;0;0;0;0;0
Ma-Agua Doce do Maranhao;0;0;0;0;0
Ma-Alcantara;0;0;0;0;0
Ma-Aldeias Altas;0;0;1;1;0
Ma-Altamira do Maranhao;10;9;8;8;6
Ma-Alto Alegre do Maranhao;2;3;4;5;6
Ma-Alto Alegre do Pindare;6;7;6;10;9
Ma-Alto Parnaiba;4;2;5;5;1
Ma-Amapa do Maranhao;1;0;1;0;1
Ma-Amarante do Maranhao;34;49;52;50;43
Ma-Anajatuba;1;0;1;1;0
Ma-Anapurus;0;0;0;0;0
Ma-Apicum-Acu;0;0;0;0;0
Ma-Araguana;1;1;1;2;1
Ma-Araioses;0;0;0;1;2
Ma-Arame;9;7;10;12;12
Ma-Arari;2;2;2;0;2
Ma-Axixa;1;1;1;1;1
Ma-Bacabal;59;70;75;80;86
Ma-Bacabeira;2;2;2;2;3
Ma-Bacuri;0;0;0;0;0
Ma-Bacurituba;0;0;0;0;0
Ma-Balsas;37;35;33;30;22
Ma-Barao de Grajau;0;0;0;0;0
Ma-Barra do Corda;14;14;14;14;14
Ma-Barreirinhas;0;0;0;0;0
Ma-Belagua;0;0;0;0;0
Ma-Bela Vista do Maranhao;5;3;3;3;3
Ma-Benedito Leite;0;0;0;0;0
Ma-Bequimao;1;1;1;1;1
Ma-Bernardo do Mearim;2;3;2;2;2
Ma-Boa Vista do Gurupi;0;0;1;1;0
Ma-Bom Jardim;21;24;24;29;25
Ma-Bom Jesus das Selvas;23;24;23;22;22
Ma-Bom Lugar;8;8;10;8;8
Ma-Brejo;0;0;0;1;2
Ma-Brejo de Areia;0;0;0;0;0
Ma-Buriti;0;0;1;0;1
Ma-Buriti Bravo;4;3;2;2;2
Ma-Buriticupu;6;6;8;6;6
Ma-Buritirana;25;23;26;22;26
Ma-Cachoeira Grande;0;0;0;0;0
Ma-Cajapio;1;1;1;0;0
Ma-Cajari;0;0;0;0;0
Ma-Campestre do Maranhao;12;15;17;15;10
Ma-Candido Mendes;1;1;0;0;0
Ma-Cantanhede;2;2;1;2;2
Ma-Capinzal do Norte;4;4;4;4;4
Ma-Carolina;17;28;28;26;34
Ma-Carutapera;9;9;13;14;16
Ma-Caxias;6;5;3;8;9
Ma-Cedral;0;0;0;0;0
Ma-Central do Maranhao;0;1;1;1;0
Ma-Centro do Guilherme;1;1;2;1;0
Ma-Centro Novo do Maranhao;9;5;6;7;8
Ma-Chapadinha;1;1;1;1;0
Ma-Cidelandia;48;45;46;38;41
Ma-Codo;25;22;24;23;24
Ma-Coelho Neto;1;1;1;1;1
Ma-Colinas;11;10;9;9;8
Ma-Conceicao do Lago-Acu;6;6;8;7;7
Ma-Coroata;2;5;3;4;5
Ma-Cururupu;0;0;0;0;0
Ma-Davinopolis;9;10;8;11;11
Ma-Dom Pedro;3;3;0;0;3
Ma-Duque Bacelar;0;0;0;0;0
Ma-Esperantinopolis;0;0;0;0;0
Ma-Estreito;22;29;32;24;36
Ma-Feira Nova do Maranhao;7;4;4;2;2
Ma-Fernando Falcao;1;2;0;0;0
Ma-Formosa da Serra Negra;2;2;2;2;1
Ma-Fortaleza dos Nogueiras;3;3;5;6;4
Ma-Fortuna;0;0;0;0;0
Ma-Godofredo Viana;0;0;0;0;0
Ma-Goncalves Dias;0;0;0;1;1
Ma-Governador Archer;0;2;2;1;1
Ma-Governador Edison Lobao;31;29;37;36;32
Ma-Governador Eugenio Barros;4;3;2;1;3
Ma-Governador Luiz Rocha;0;1;1;1;0
Ma-Governador Newton Bello;8;10;9;10;12
Ma-Governador Nunes Freire;4;4;4;3;2
Ma-Graca Aranha;0;0;0;0;0
Ma-Grajau;23;22;21;19;13
Ma-Guimaraes;0;0;0;0;0
Ma-Humberto de Campos;0;0;0;0;0
Ma-Icatu;0;0;0;0;0
Ma-Igarape do Meio;7;5;5;4;9
Ma-Igarape Grande;3;3;3;6;4
Ma-Imperatriz;98;99;104;119;125
Ma-Itaipava do Grajau;0;2;2;1;1
Ma-Itapecuru Mirim;10;7;7;7;6
Ma-Itinga do Maranhao;43;40;44;45;45
Ma-Jatoba;0;1;1;1;1
Ma-Jenipapo dos Vieiras;0;0;0;0;0
Ma-Joao Lisboa;48;44;43;45;38
Ma-Joselandia;1;0;0;0;0
Ma-Junco do Maranhao;1;0;0;0;0
Ma-Lago da Pedra;20;17;21;22;27
Ma-Lago do Junco;3;4;5;7;6
Ma-Lago Verde;10;12;11;12;13
Ma-Lagoa do Mato;4;2;3;3;3
Ma-Lago dos Rodrigues;2;3;3;4;3
Ma-Lagoa Grande do Maranhao;0;1;0;1;1
Ma-Lajeado Novo;11;11;11;8;8
Ma-Lima Campos;5;5;4;4;4
Ma-Loreto;0;0;0;0;0
Ma-Luis Domingues;0;0;0;0;0
Ma-Magalhaes de Almeida;1;1;1;0;0
Ma-Maracacume;3;3;3;3;0
Ma-Maraja do Sena;0;0;0;1;0
Ma-Maranhaozinho;1;1;0;0;0
Ma-Mata Roma;0;0;0;0;0
Ma-Matinha;1;1;1;1;1
Ma-Matoes;6;5;5;4;3
Ma-Matoes do Norte;3;3;3;2;2
Ma-Milagres do Maranhao;0;0;0;0;0
Ma-Mirador;1;1;1;1;1
Ma-Miranda do Norte;4;4;5;5;7
Ma-Mirinzal;0;0;0;0;0
Ma-Moncao;1;1;1;0;0
Ma-Montes Altos;16;18;22;20;18
Ma-Morros;0;0;0;0;0
Ma-Nina Rodrigues;0;0;0;0;0
Ma-Nova Colinas;0;1;1;1;1
Ma-Nova Iorque;0;0;0;0;1
Ma-Nova Olinda do Maranhao;3;3;4;4;4
Ma-Olho D Agua das Cunhas;14;12;11;12;12
