Nível;Cód.;Município;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
MU;1500131;Abel Figueiredo (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;145;198;180;12400;17600;16800;17360
MU;1500206;Acará (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1500305;Afuá (PA);-;...;...;...;-;...;...;...;-;-;-;...;...;-;-;-;-;-;-;-
MU;1500347;Água Azul do Norte (PA);-;-;-;-;-;58;-;-;-;-;-;-;-;-;1050;1800;2300;2438;2025;2025
MU;1500404;Alenquer (PA);-;1283;1620;1620;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1500503;Almeirim (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1500602;Altamira (PA);300;300;400;400;400;162;675;675;675;675;675;2880;13813;4500;6000;6000;56700;50400;50400;47600
MU;1500701;Anajás (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1500800;Ananindeua (PA);...;...;...;...;-;...;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1500859;Anapu (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1500909;Augusto Corrêa (PA);-;-;-;-;-;-;-;-;-;-;-;30;-;-;-;-;-;-;-;-
MU;1500958;Aurora do Pará (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1501006;Aveiro (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1501105;Bagre (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1501204;Baião (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1501253;Bannach (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1501303;Barcarena (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1501402;Belém (PA);...;...;...;-;-;...;...;...;-;-;-;-;...;...;-;-;-;-;-;-
MU;1501451;Belterra (PA);3780;13500;36450;19200;27000;40500;27405;30780;31860;31860;29179;41016;41016;41016;41016;41553;41553;66000;73600;105000
MU;1501501;Benevides (PA);...;...;...;...;-;...;...;...;-;-;...;...;...;...;-;-;-;-;-;-
MU;1501576;Bom Jesus do Tocantins (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1501600;Bonito (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1501709;Bragança (PA);-;-;-;-;54;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1501725;Brasil Novo (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1501758;Brejo Grande do Araguaia (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;1590;1590;1590;1590
MU;1501782;Breu Branco (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1501808;Breves (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1501907;Bujaru (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1501956;Cachoeira do Piriá (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1502004;Cachoeira do Arari (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1502103;Cametá (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1502152;Canaã dos Carajás (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1502202;Capanema (PA);-;-;720;1476;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1502301;Capitão Poço (PA);135;720;3120;2800;1200;1200;720;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1502400;Castanhal (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1502509;Chaves (PA);-;...;...;...;-;...;...;...;-;-;-;...;...;-;-;-;-;-;-;-
MU;1502608;Colares (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1502707;Conceição do Araguaia (PA);705;750;1800;1800;1800;3000;-;3000;990;1155;1320;3960;2235;2640;3330;4676;9442;11142;17123;15679
MU;1502756;Concórdia do Pará (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1502764;Cumaru do Norte (PA);-;-;-;-;-;-;-;-;-;5625;12000;18000;23400;45000;35243;20504;43992;60000;24503;29823
MU;1502772;Curionópolis (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1502806;Curralinho (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1502855;Curuá (PA);1200;1200;1200;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1502905;Curuçá (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1502939;Dom Eliseu (PA);4125;6600;13200;16500;16500;20160;21900;26550;41400;66000;24000;96000;231000;231000;277200;264000;263500;283500;322770;381753
MU;1502954;Eldorado do Carajás (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1503002;Faro (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1503044;Floresta do Araguaia (PA);2400;2400;4950;5100;5100;5100;4200;1500;2400;2850;3600;3750;7500;10500;7616;8320;10304;12819;15450;18005
MU;1503077;Garrafão do Norte (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1503093;Goianésia do Pará (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;225;-;-;-;-;-
MU;1503101;Gurupá (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1503200;Igarapé-Açu (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1503309;Igarapé-Miri (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1503408;Inhangapi (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1503457;Ipixuna do Pará (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;2310;3024;2700;21700;20800;21290;27492
MU;1503507;Irituia (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1503606;Itaituba (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1503705;Itupiranga (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1503754;Jacareacanga (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1503804;Jacundá (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1503903;Juruti (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1504000;Limoeiro do Ajuru (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1504059;Mãe do Rio (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1504109;Magalhães Barata (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1504208;Marabá (PA);-;42;-;60;-;-;-;-;-;-;1350;1350;-;1550;1550;1550;1550;995;1628;1628
MU;1504307;Maracanã (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1504406;Marapanim (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1504422;Marituba (PA);...;...;...;-;...;...;...;...;...;...;...;...;...;...;-;...;...;...;...;...
MU;1504455;Medicilândia (PA);-;-;-;360;-;-;-;-;-;-;-;-;198;-;-;-;-;-;-;-
MU;1504505;Melgaço (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1504604;Mocajuba (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1504703;Moju (PA);-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
MU;1504752;Mojuí dos Campos (PA);...;...;...;...;...;...;...;...;...;...;21207;36900;36900;36900;70500;61038;64500;105000;147200;175000
