Município;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006
Pa-Santana do Araguaia;690;676;606;661;668;679;728;966;952;848;799
Pa-Santarem;201;200;152;181;162;159;151;152;149;154;145
Pa-Santarem Novo;0;0;0;0;0;0;0;0;0;0;0
Pa-Santo Antonio do Taua;0;0;0;0;4;0;0;0;0;0;0
Pa-Sao Caetano de Odivelas;0;0;0;0;0;0;0;0;0;0;0
Pa-Sao Domingos do Araguaia;0;0;0;0;0;0;0;0;0;0;0
Pa-Sao Domingos do Capim;0;0;0;0;0;0;0;0;0;0;0
Pa-Sao Felix do Xingu;464;408;363;160;12;5;4;3;3;0;0
Pa-Sao Francisco do Para;0;0;0;0;0;0;0;0;0;0;0
Pa-Sao Geraldo do Araguaia;8;6;5;129;55;46;38;41;52;0;0
Pa-Sao Joao da Ponta;0;0;0;0;0;0;0;0;0;0;0
Pa-Sao Joao de Pirabas;0;0;0;0;0;0;0;0;0;0;0
Pa-Sao Joao do Araguaia;0;0;0;0;4;0;1;1;1;0;0
Pa-Sao Miguel do Guama;0;0;0;0;0;0;3;0;0;0;0
Pa-Sao Sebastiao da Boa Vista;0;0;0;0;0;0;0;0;0;0;0
Pa-Sapucaia;0;0;0;0;0;0;0;0;0;0;0
Pa-Senador Jose Porfirio;0;0;0;0;0;0;0;0;0;0;0
Pa-Soure;0;0;0;0;0;0;0;0;0;0;0
Pa-Tailandia;30;25;1;15;13;5;6;0;2;0;0
Pa-Terra Alta;0;0;0;0;0;0;0;0;0;0;0
Pa-Terra Santa;0;0;0;0;0;0;0;0;0;0;0
Pa-Tome-Acu;5;0;38;36;29;6;7;0;0;0;0
Pa-Tracuateua;0;0;0;0;0;0;0;0;0;0;0
Pa-Trairao;0;0;0;0;0;0;0;0;0;0;0
Pa-Tucuma;280;1044;934;832;376;386;401;458;598;430;359
Pa-Tucurui;2;12;13;5;9;9;10;6;12;17;19
Pa-Ulianopolis;0;0;0;0;0;0;0;0;0;0;0
Pa-Uruara;15;13;11;13;14;11;11;11;8;8;11
Pa-Vigia;10;12;11;6;6;8;0;0;0;0;0
Pa-Viseu;0;0;0;0;0;0;0;0;0;0;0
Pa-Vitoria do Xingu;0;0;0;0;0;0;0;0;0;0;0
Pa-Xinguara;1528;1567;1522;1231;1293;732;898;897;530;1223;959
