Município;2021;2020;2019;2018;2017
Ma-Alto Alegre do Maranhao;0;0;0;0;0
Ma-Alto Alegre do Pindare;0;0;0;0;0
Ma-Alto Parnaiba;0;0;0;0;0
Ma-Amapa do Maranhao;0;0;0;0;0
Ma-Amarante do Maranhao;0;0;0;0;0
Ma-Anajatuba;0;0;0;0;0
Ma-Anapurus;0;0;0;0;0
Ma-Apicum-Acu;0;0;0;0;0
Ma-Araguana;0;0;0;0;0
Ma-Araioses;0;0;0;0;0
Ma-Arame;0;0;0;0;0
Ma-Arari;0;0;0;0;0
Ma-Axixa;5;5;9;14;16
Ma-Bacabal;0;0;0;0;0
Ma-Bacabeira;0;0;0;0;0
Ma-Bacuri;0;0;0;0;0
Ma-Bacurituba;0;0;0;0;0
Ma-Balsas;3;3;2;0;0
Ma-Barao de Grajau;0;0;0;0;0
Ma-Barra do Corda;12;10;11;7;8
Ma-Barreirinhas;0;0;0;0;0
Ma-Belagua;0;0;0;0;0
Ma-Bela Vista do Maranhao;0;0;0;0;0
Ma-Benedito Leite;0;0;0;0;0
Ma-Bequimao;0;0;0;0;0
Ma-Bernardo do Mearim;0;0;0;0;0
Ma-Boa Vista do Gurupi;0;0;0;0;0
Ma-Bom Jardim;0;0;0;0;0
Ma-Bom Jesus das Selvas;0;0;0;0;0
Ma-Bom Lugar;0;0;0;0;0
Ma-Brejo;0;0;0;0;0
Ma-Brejo de Areia;0;0;0;0;0
Ma-Buriti;0;0;0;0;0
Ma-Buriti Bravo;0;0;0;0;0
Ma-Buriticupu;0;0;0;0;0
Ma-Buritirana;0;0;0;0;0
Ma-Cachoeira Grande;0;0;0;0;0
Ma-Cajapio;0;0;0;0;0
Ma-Cajari;0;0;0;0;0
Ma-Campestre do Maranhao;0;0;0;0;0
Ma-Candido Mendes;0;0;0;0;0
Ma-Cantanhede;0;0;0;0;0
Ma-Capinzal do Norte;0;0;0;0;0
Ma-Carolina;0;0;0;2;0
Ma-Carutapera;0;0;0;0;0
Ma-Caxias;23;29;34;34;36
Ma-Cedral;0;0;0;0;0
Ma-Central do Maranhao;0;0;0;0;0
Ma-Centro do Guilherme;0;0;0;0;0
Ma-Centro Novo do Maranhao;0;0;0;0;0
Ma-Chapadinha;14;17;15;15;12
Ma-Cidelandia;5;17;9;6;6
Ma-Codo;0;0;0;0;9
Ma-Coelho Neto;0;0;2;2;0
Ma-Colinas;0;0;0;0;0
Ma-Conceicao do Lago-Acu;0;0;0;0;0
Ma-Coroata;0;0;0;0;0
Ma-Cururupu;0;0;0;0;0
Ma-Davinopolis;0;0;0;0;0
Ma-Dom Pedro;0;0;0;0;0
Ma-Duque Bacelar;0;0;0;0;0
Ma-Esperantinopolis;0;0;0;0;0
Ma-Estreito;0;0;0;0;6
Ma-Feira Nova do Maranhao;0;0;0;0;0
Ma-Fernando Falcao;0;0;0;0;0
Ma-Formosa da Serra Negra;0;0;0;0;0
Ma-Fortaleza dos Nogueiras;1;0;0;0;0
Ma-Fortuna;0;0;0;0;0
Ma-Godofredo Viana;0;0;0;0;0
Ma-Goncalves Dias;0;0;0;0;0
