Município;2021;2020;2019;2018;2017
Ma-Amarante do Maranhao;0;0;0;0;0
Ma-Anajatuba;0;0;0;0;0
Ma-Anapurus;0;0;0;0;0
Ma-Apicum-Acu;0;0;0;0;0
Ma-Araguana;0;0;0;0;0
Ma-Araioses;0;0;0;0;0
Ma-Arame;0;0;0;0;0
Ma-Arari;0;0;0;0;0
Ma-Axixa;1;1;1;1;1
Ma-Bacabal;0;0;0;0;0
Ma-Bacabeira;0;0;0;0;0
Ma-Bacuri;0;0;0;0;0
Ma-Bacurituba;0;0;0;0;0
Ma-Balsas;1;2;2;0;0
Ma-Barao de Grajau;0;0;0;0;0
Ma-Barra do Corda;2;2;2;1;1
Ma-Barreirinhas;0;0;0;0;0
Ma-Belagua;0;0;0;0;0
Ma-Bela Vista do Maranhao;0;0;0;0;0
Ma-Benedito Leite;0;0;0;0;0
Ma-Bequimao;0;0;0;0;0
Ma-Bernardo do Mearim;0;0;0;0;0
Ma-Boa Vista do Gurupi;0;0;0;0;0
Ma-Bom Jardim;0;0;0;0;0
Ma-Bom Jesus das Selvas;0;0;0;0;0
Ma-Bom Lugar;0;0;0;0;0
Ma-Brejo;0;0;0;0;0
Ma-Brejo de Areia;0;0;0;0;0
Ma-Buriti;0;0;0;0;0
Ma-Buriti Bravo;0;0;0;0;0
Ma-Buriticupu;0;0;0;0;0
Ma-Buritirana;0;0;0;0;0
Ma-Cachoeira Grande;0;0;0;0;0
Ma-Cajapio;0;0;0;0;0
Ma-Cajari;0;0;0;0;0
Ma-Campestre do Maranhao;0;0;0;0;0
Ma-Candido Mendes;0;0;0;0;0
Ma-Cantanhede;0;0;0;0;0
Ma-Capinzal do Norte;0;0;0;0;0
Ma-Carolina;0;0;0;1;0
Ma-Carutapera;0;0;0;0;0
Ma-Caxias;4;4;4;4;5
Ma-Cedral;0;0;0;0;0
Ma-Central do Maranhao;0;0;0;0;0
Ma-Centro do Guilherme;0;0;0;0;0
