Município;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006
To-Colinas do Tocantins;1;1;1;1;2;1;0;2;3;2;1
To-Combinado;0;0;0;0;0;1;0;0;0;0;0
To-Conceicao do Tocantins;0;0;0;0;0;0;0;0;0;0;0
To-Couto Magalhaes;0;0;0;0;0;0;0;0;0;0;0
To-Cristalandia;1;1;1;2;2;2;2;3;2;1;1
To-Crixas do Tocantins;0;0;0;0;0;0;0;0;0;0;0
To-Darcinopolis;0;0;0;0;0;0;0;0;0;0;0
To-Dianopolis;1;1;1;1;1;1;1;1;2;1;0
To-Divinopolis do Tocantins;0;0;0;0;0;0;0;0;0;0;0
To-Dois Irmaos do Tocantins;0;0;0;0;0;0;0;0;0;0;0
To-Duere;0;0;0;0;0;0;0;0;0;0;0
To-Esperantina;0;0;0;0;0;0;0;0;0;0;0
To-Fatima;1;1;1;1;1;1;1;1;1;1;0
To-Figueiropolis;0;0;0;0;0;0;0;0;0;0;0
To-Filadelfia;0;0;0;0;0;0;0;0;0;0;0
To-Formoso do Araguaia;0;0;0;0;1;1;0;1;0;0;0
To-Fortaleza do Tabocao;0;0;0;0;0;0;0;0;0;0;0
To-Goianorte;0;0;0;0;0;0;0;0;0;0;0
To-Goiatins;0;0;0;0;0;0;0;0;0;0;0
To-Guarai;2;2;1;0;0;1;0;0;0;0;1
To-Gurupi;3;3;3;3;3;3;3;3;3;3;4
To-Ipueiras;0;0;0;0;0;0;0;0;0;0;0
To-Itacaja;0;0;0;0;0;0;0;0;0;0;0
To-Itaguatins;0;0;0;0;0;0;0;0;0;0;0
To-Itapiratins;0;0;0;0;0;0;0;0;0;0;0
To-Itapora do Tocantins;0;0;0;0;0;0;0;0;0;0;0
To-Jau do Tocantins;0;0;0;0;0;0;0;1;1;1;0
To-Juarina;0;0;0;0;0;0;0;0;0;0;0
To-Lagoa da Confusao;1;1;2;1;1;1;1;1;1;1;0
To-Lagoa do Tocantins;0;0;0;0;0;0;0;0;0;0;0
To-Lajeado;0;0;0;0;0;0;0;0;0;0;0
To-Lavandeira;0;0;0;0;0;0;0;0;0;0;0
To-Lizarda;0;0;0;0;0;0;0;0;0;0;0
To-Luzinopolis;0;0;0;0;0;0;0;0;0;0;0
To-Marianopolis do Tocantins;0;0;0;0;0;0;0;0;0;0;0
To-Mateiros;1;0;0;0;0;0;0;0;0;0;0
To-Maurilandia do Tocantins;0;0;0;0;0;0;0;0;0;0;0
To-Miracema do Tocantins;1;1;1;1;1;1;1;0;1;1;1
To-Miranorte;0;0;0;0;0;0;0;0;0;1;0
To-Monte do Carmo;0;0;0;0;0;0;0;0;0;0;0
To-Monte Santo do Tocantins;0;0;0;0;0;0;0;0;0;0;0
To-Palmeiras do Tocantins;0;0;0;0;0;0;0;0;0;0;0
To-Muricilandia;0;0;0;0;0;0;0;0;0;0;0
To-Natividade;1;1;1;0;0;0;0;0;0;0;0
To-Nazare;0;0;0;0;0;0;0;0;0;0;0
To-Nova Olinda;1;1;1;1;1;1;2;2;2;1;1
To-Nova Rosalandia;0;0;0;0;0;0;0;0;1;1;0
To-Novo Acordo;0;0;0;0;0;0;0;0;0;0;0
To-Novo Alegre;0;0;0;0;0;0;0;0;0;0;0
To-Novo Jardim;0;0;0;0;0;0;0;0;0;0;0
To-Oliveira de Fatima;0;0;0;0;0;0;0;0;0;0;0
To-Palmeirante;0;0;0;0;0;0;0;0;0;0;0
To-Palmeiropolis;1;1;1;0;0;0;0;0;0;0;0
To-Paraiso do Tocantins;9;8;6;7;5;7;8;8;10;9;6
To-Parana;0;0;0;0;0;0;0;1;1;0;0
To-Pau D Arco;0;0;0;0;0;0;0;0;0;0;0
To-Pedro Afonso;1;1;1;0;0;1;1;1;1;1;0
To-Peixe;0;0;0;0;0;0;0;0;0;0;0
To-Pequizeiro;0;0;0;0;0;0;0;0;0;0;0
To-Colmeia;1;3;3;1;0;1;1;1;1;1;4
To-Pindorama do Tocantins;0;0;0;0;0;0;0;0;0;0;0
