Município;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006
Pa-Placas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Ponta de Pedras;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Portel;6;7;6;7;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Porto de Moz;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Prainha;8;7;7;5;5;1;1;1;1;1;1;1;2;2;2;2
Pa-Primavera;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Quatipuru;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Redencao;79;57;46;41;34;29;34;0;2;0;0;0;2;3;14;4
Pa-Rio Maria;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Rondon do Para;169;149;166;138;15;17;13;6;15;14;0;0;0;0;0;0
Pa-Ruropolis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Salinopolis;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Salvaterra;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Santa Barbara do Para;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Santa Cruz do Arari;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Santa Izabel do Para;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Santa Luzia do Para;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Santa Maria das Barreiras;303;274;193;167;129;101;68;31;29;2;0;6;8;7;0;13
Pa-Santa Maria do Para;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Santana do Araguaia;405;272;291;275;225;217;163;125;160;156;101;67;68;73;29;36
Pa-Santarem;98;89;67;44;56;46;59;56;36;26;25;29;28;28;22;30
Pa-Santarem Novo;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Santo Antonio do Taua;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Sao Caetano de Odivelas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Sao Domingos do Araguaia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Sao Domingos do Capim;10;7;9;7;6;8;8;0;0;0;0;0;0;0;0;0
Pa-Sao Felix do Xingu;2;7;4;4;4;2;3;3;4;0;0;0;0;0;0;0
Pa-Sao Francisco do Para;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Sao Geraldo do Araguaia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Sao Joao da Ponta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Sao Joao de Pirabas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Sao Joao do Araguaia;1;1;1;1;0;1;1;2;9;0;0;0;0;0;0;0
Pa-Sao Miguel do Guama;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Sao Sebastiao da Boa Vista;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Sapucaia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Senador Jose Porfirio;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Soure;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Tailandia;27;7;18;11;8;6;3;2;3;0;0;0;0;0;0;0
Pa-Terra Alta;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Terra Santa;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Tome-Acu;7;12;7;0;0;0;0;0;0;0;0;0;0;0;1;1
Pa-Tracuateua;6;6;4;1;1;1;2;2;0;0;0;0;0;0;0;0
Pa-Trairao;12;17;18;15;11;0;0;0;0;0;0;0;0;0;0;0
Pa-Tucuma;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Tucurui;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Ulianopolis;95;34;37;34;13;14;23;28;38;21;4;2;4;1;1;3
Pa-Uruara;0;0;0;0;0;0;0;0;0;2;2;2;0;0;0;0
Pa-Vigia;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Viseu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Vitoria do Xingu;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Xinguara;2;2;3;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Ignorado;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ap-Serra do Navio;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ap-Amapa;3;3;3;3;2;1;2;1;0;0;0;0;0;0;0;0
Ap-Pedra Branca do Amapari;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ap-Calcoene;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0
Ap-Cutias;1;2;4;2;2;1;1;0;0;0;0;0;0;0;0;0
Ap-Ferreira Gomes;1;1;1;2;4;2;1;0;0;0;0;0;0;0;0;0
Ap-Itaubal;3;4;6;6;7;8;5;3;1;0;0;1;1;0;0;0
Ap-Laranjal do Jari;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ap-Macapa;34;37;40;30;31;12;4;3;5;5;3;0;0;1;0;0
Ap-Mazagao;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ap-Oiapoque;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ap-Porto Grande;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ap-Pracuuba;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ap-Santana;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Ap-Tartarugalzinho;13;21;16;15;18;6;5;5;1;4;3;3;2;3;3;3
